Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,Philadephia 76ers,W,3/8/2013,34:14,10,17,0.588,2,3,0.667,3,5,0.6,3,7,10,5,1,2,3,2,25,19
Chris Bosh,Philadephia 76ers,W,3/8/2013,31:18,7,14,0.5,0,0,,2,3,0.667,1,3,4,4,1,1,1,0,16,6
Mario Chalmers,Philadephia 76ers,W,3/8/2013,22:09,3,4,0.75,2,3,0.667,0,0,,0,4,4,4,0,0,2,2,8,1
Udonis Haslem,Philadephia 76ers,W,3/8/2013,16:10,1,1,1,0,0,,0,0,,0,4,4,0,0,1,1,0,2,-2
LeBron James,Indiana Pacers,W,3/10/2013,36:21,5,10,0.5,0,0,,3,5,0.6,1,5,6,7,1,1,4,1,13,23
Dwyane Wade,Indiana Pacers,W,3/10/2013,36:09,9,16,0.563,0,1,0,5,6,0.833,0,2,2,3,6,0,4,3,23,26
Mario Chalmers,Indiana Pacers,W,3/10/2013,32:58,7,9,0.778,5,6,0.833,7,7,1,1,6,7,2,2,0,2,3,26,30
Chris Bosh,Indiana Pacers,W,3/10/2013,32:55,11,15,0.733,1,2,0.5,1,2,0.5,1,2,3,4,1,3,0,3,24,26
Udonis Haslem,Indiana Pacers,W,3/10/2013,18:11,0,1,0,0,0,,0,0,,0,3,3,1,0,1,0,3,0,19
LeBron James,Atlanta Hawks,W,3/12/2013,30:07,3,11,0.273,0,2,0,9,12,0.75,3,4,7,7,2,0,4,1,15,21
Dwyane Wade,Atlanta Hawks,W,3/12/2013,30:05,9,18,0.5,0,1,0,5,6,0.833,3,1,4,6,5,0,1,2,23,12
Mario Chalmers,Atlanta Hawks,W,3/12/2013,26:02,5,8,0.625,4,7,0.571,0,0,,1,2,3,5,3,1,2,2,14,19
Chris Bosh,Atlanta Hawks,W,3/12/2013,24:23,6,12,0.5,0,1,0,2,2,1,0,3,3,1,0,2,0,0,14,20
Udonis Haslem,Atlanta Hawks,W,3/12/2013,23:45,3,7,0.429,0,0,,0,0,,2,9,11,1,0,0,0,2,6,19
Dwyane Wade,Philadephia 76ers,W,3/13/2013,39:14,7,14,0.5,0,0,,7,8,0.875,3,5,8,3,0,1,3,1,21,1
LeBron James,Philadephia 76ers,W,3/13/2013,37:14,8,19,0.421,1,4,0.25,10,12,0.833,2,5,7,8,2,1,4,1,27,7
Mario Chalmers,Philadephia 76ers,W,3/13/2013,32:08,3,9,0.333,0,5,0,1,1,1,0,2,2,4,1,0,0,1,7,13
Chris Bosh,Philadephia 76ers,W,3/13/2013,31:37,5,11,0.455,0,0,,0,0,,1,4,5,1,2,3,2,1,10,8
Udonis Haslem,Philadephia 76ers,W,3/13/2013,17:47,2,2,1,0,0,,1,2,0.5,1,3,4,0,0,0,0,2,5,-7
LeBron James,Milwaukee Bucks,W,3/15/2013,38:14,12,24,0.5,0,2,0,4,5,0.8,1,9,10,7,0,1,2,1,28,5
Chris Bosh,Milwaukee Bucks,W,3/15/2013,35:43,12,16,0.75,2,3,0.667,2,3,0.667,2,5,7,0,1,2,2,0,28,14
Dwyane Wade,Milwaukee Bucks,W,3/15/2013,33:17,8,17,0.471,0,0,,4,5,0.8,3,4,7,9,2,1,2,0,20,21
Mario Chalmers,Milwaukee Bucks,W,3/15/2013,26:31,2,6,0.333,1,4,0.25,2,2,1,0,3,3,3,2,0,2,3,7,12
Udonis Haslem,Milwaukee Bucks,W,3/15/2013,21:42,0,1,0,0,0,,0,0,,1,5,6,1,0,0,0,2,0,11
Dwyane Wade,Toronto Raptors,W,3/17/2013,34:38,10,15,0.667,0,0,,4,6,0.667,0,3,3,8,1,0,2,3,24,30
LeBron James,Toronto Raptors,W,3/17/2013,33:50,6,12,0.5,2,6,0.333,8,11,0.727,1,11,12,8,2,0,3,1,22,10
Chris Bosh,Toronto Raptors,W,3/17/2013,28:37,7,10,0.7,2,3,0.667,2,4,0.5,0,2,2,0,2,0,1,0,18,14
Mario Chalmers,Toronto Raptors,W,3/17/2013,25:20,0,5,0,0,3,0,1,1,1,0,2,2,7,0,0,2,2,1,1
Udonis Haslem,Toronto Raptors,W,3/17/2013,18:21,1,1,1,0,0,,0,0,,1,0,1,2,0,0,0,1,2,1
LeBron James,Boston Celtics,W,3/18/2013,42:15,16,29,0.552,1,4,0.25,4,6,0.667,1,6,7,12,2,2,5,3,37,13
Chris Bosh,Boston Celtics,W,3/18/2013,36:51,6,10,0.6,0,1,0,1,2,0.5,0,5,5,2,0,2,1,0,13,20
Mario Chalmers,Boston Celtics,W,3/18/2013,36:34,6,10,0.6,4,5,0.8,5,6,0.833,1,2,3,2,2,1,2,2,21,14
Dwyane Wade,Boston Celtics,W,3/18/2013,35:31,7,15,0.467,0,0,,2,5,0.4,1,6,7,6,3,0,2,2,16,13
Udonis Haslem,Boston Celtics,W,3/18/2013,17:27,2,4,0.5,0,0,,0,0,,2,3,5,1,0,0,0,5,4,3
LeBron James,Cleveland Cavaliers,W,3/20/2013,42:19,8,22,0.364,3,7,0.429,6,8,0.75,7,5,12,10,3,2,4,1,25,1
Dwyane Wade,Cleveland Cavaliers,W,3/20/2013,38:14,4,11,0.364,0,1,0,3,4,0.75,0,6,6,5,0,0,2,3,11,-4
Chris Bosh,Cleveland Cavaliers,W,3/20/2013,35:38,5,10,0.5,0,2,0,1,2,0.5,3,4,7,3,1,2,1,3,11,-18
Mario Chalmers,Cleveland Cavaliers,W,3/20/2013,34:08,5,8,0.625,3,6,0.5,4,5,0.8,0,0,0,2,0,0,4,4,17,-2
Udonis Haslem,Cleveland Cavaliers,W,3/20/2013,13:23,2,3,0.667,0,0,,2,2,1,1,1,2,0,0,0,1,2,6,-8
LeBron James,Detroit Pistons,W,3/22/2013,39:53,12,15,0.8,1,1,1,4,6,0.667,1,7,8,8,2,1,3,1,29,14
Dwyane Wade,Detroit Pistons,W,3/22/2013,37:52,7,17,0.412,1,2,0.5,4,6,0.667,1,2,3,4,3,0,6,1,19,5
Chris Bosh,Detroit Pistons,W,3/22/2013,31:18,1,7,0.143,0,0,,3,6,0.5,0,6,6,1,1,1,3,2,5,6
Mario Chalmers,Detroit Pistons,W,3/22/2013,25:39,3,6,0.5,3,6,0.5,2,2,1,0,1,1,3,4,0,3,2,11,6
Udonis Haslem,Detroit Pistons,W,3/22/2013,17:54,2,3,0.667,0,0,,0,0,,2,5,7,0,1,0,1,2,4,1
LeBron James,Charlotte Bobcats,W,3/24/2013,34:10,11,14,0.786,0,1,0,10,11,0.909,0,8,8,10,3,3,4,0,32,22
Chris Bosh,Charlotte Bobcats,W,3/24/2013,31:21,5,12,0.417,0,1,0,5,6,0.833,1,5,6,1,1,3,0,1,15,5
Mario Chalmers,Charlotte Bobcats,W,3/24/2013,26:25,0,4,0,0,4,0,2,2,1,0,0,0,3,1,1,2,2,2,-1
Mike Miller,Charlotte Bobcats,W,3/24/2013,21:38,2,7,0.286,2,6,0.333,0,0,,0,3,3,4,1,0,0,2,6,-6
Udonis Haslem,Charlotte Bobcats,W,3/24/2013,15:55,0,3,0,0,0,,1,2,0.5,1,4,5,1,1,0,0,0,1,-6
LeBron James,Orlando Magic,W,3/25/2013,38:45,9,16,0.563,0,0,,6,10,0.6,1,8,9,11,1,0,3,2,24,25
