Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rashard Lewis,4:29,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,1,0,-2
Ray Allen,20:20,3,7,.429,1,4,.250,4,5,.800,1,0,1,1,0,0,1,2,11,-3
Chris Andersen,15:26,2,3,.667,0,0,,2,4,.500,0,2,2,1,0,0,0,3,6,+1
Norris Cole,15:23,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-16
Shane Battier,13:06,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,5,2,-7
Joel Anthony,12:12,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-8
James Jones,2:34,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-7
Rashard Lewis,2:13,0,1,.000,0,0,,0,2,.000,0,1,1,0,0,0,0,0,0,-7
Mike Miller,2:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-7
Ray Allen,25:53,3,8,.375,2,4,.500,4,5,.800,0,0,0,0,0,0,1,0,12,+3
Norris Cole,21:58,1,5,.200,0,1,.000,0,3,.000,0,4,4,4,0,0,2,2,2,-2
Shane Battier,18:51,0,3,.000,0,3,.000,2,2,1.000,2,2,4,2,1,0,1,1,2,-1
Chris Andersen,16:16,2,3,.667,0,0,,0,0,,1,2,3,0,2,1,1,4,4,+6
Joel Anthony,6:47,3,4,.750,0,0,,0,0,,2,0,2,0,0,0,0,0,6,-5
Rashard Lewis,5:58,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-5
Mike Miller,5:58,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0,-5
James Jones,3:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,+3
Ray Allen,26:52,3,5,.600,2,4,.500,4,4,1.000,0,2,2,2,0,0,1,2,12,-1
Shane Battier,26:03,2,6,.333,2,6,.333,0,0,,1,3,4,4,1,0,0,0,6,+7
Chris Andersen,16:23,5,9,.556,0,1,.000,0,0,,2,3,5,0,0,1,1,2,10,-4
