Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Udonis Haslem,26:38,0,2,.000,0,0,,0,0,,2,6,8,0,0,1,1,3,0,+1
Mario Chalmers,18:04,1,2,.500,0,1,.000,0,0,,0,2,2,3,1,0,1,2,2,-4
Mario Chalmers,30:04,12,16,.750,10,13,.769,0,0,,0,2,2,3,2,0,2,1,34,+28
LeBron James,29:08,7,10,.700,0,1,.000,6,7,.857,1,4,5,7,5,2,1,0,20,+28
Chris Bosh,28:15,6,11,.545,0,0,,4,4,1.000,1,3,4,5,0,1,1,0,16,+24
Dwyane Wade,25:04,3,5,.600,0,1,.000,5,6,.833,1,4,5,7,2,4,2,2,11,+33
Udonis Haslem,18:00,1,3,.333,0,0,,3,4,.750,2,6,8,1,0,0,1,4,5,+21
LeBron James,43:41,13,19,.684,2,4,.500,4,4,1.000,1,3,4,6,3,2,3,5,32,+1
Mario Chalmers,37:17,4,8,.500,2,4,.500,2,4,.500,0,2,2,7,1,0,1,4,12,+1
Dwyane Wade,29:18,5,11,.455,1,2,.500,0,3,.000,1,4,5,4,1,0,2,2,11,-6
Chris Bosh,26:35,8,13,.615,0,0,,0,0,,1,0,1,1,0,1,2,4,16,-12
Udonis Haslem,18:50,0,1,.000,0,0,,0,0,,0,5,5,1,1,0,2,4,0,-1
LeBron James,30:32,11,20,.550,1,5,.200,2,3,.667,1,6,7,10,1,0,1,2,25,+33
Dwyane Wade,29:36,6,12,.500,0,1,.000,3,5,.600,2,6,8,6,5,1,0,1,15,+32
Mario Chalmers,26:30,5,11,.455,4,7,.571,1,2,.500,0,1,1,1,3,0,1,3,15,+24
Chris Bosh,26:19,5,14,.357,1,1,1.000,0,0,,2,4,6,1,1,1,3,3,11,+23
Udonis Haslem,23:38,3,4,.750,0,0,,0,0,,4,6,10,0,0,0,0,2,6,+26
LeBron James,42:04,17,25,.680,1,2,.500,4,4,1.000,0,7,7,8,3,1,2,2,39,+13
Dwyane Wade,37:49,11,20,.550,0,1,.000,5,7,.714,0,4,4,5,2,1,1,3,27,+1
Chris Bosh,34:59,3,10,.300,0,0,,1,2,.500,0,6,6,2,6,0,1,3,7,+8
Mario Chalmers,21:05,1,7,.143,0,3,.000,2,2,1.000,0,1,1,3,0,0,1,4,4,+3
Udonis Haslem,11:32,2,3,.667,0,0,,0,0,,2,5,7,0,1,0,1,4,4,+4
LeBron James,44:50,12,23,.522,1,5,.200,6,7,.857,1,9,10,11,0,0,3,1,31,+9
Chris Bosh,40:35,3,7,.429,0,0,,6,12,.500,4,8,12,1,0,1,1,2,12,+18
Dwyane Wade,40:00,13,19,.684,0,1,.000,9,15,.600,2,3,5,7,0,1,3,4,35,+10
Mario Chalmers,33:32,5,10,.500,3,6,.500,1,2,.500,1,0,1,3,2,0,2,6,14,+4
Udonis Haslem,18:46,1,1,1.000,0,0,,0,0,,3,7,10,1,1,1,1,3,2,-2
Dwyane Wade,34:30,12,20,.600,0,1,.000,5,5,1.000,1,4,5,7,3,1,5,1,29,+24
LeBron James,33:01,9,14,.643,0,1,.000,5,6,.833,1,6,7,7,1,0,2,0,23,+22
Chris Bosh,29:42,5,10,.500,0,1,.000,4,5,.800,2,5,7,1,1,0,0,1,14,+7
Mario Chalmers,27:08,2,6,.333,1,4,.250,1,2,.500,1,1,2,2,4,0,0,3,6,+24
Udonis Haslem,18:16,3,3,1.000,0,0,,0,0,,2,3,5,1,0,0,1,2,6,+2
LeBron James,51:56,14,31,.452,3,6,.500,3,5,.600,4,12,16,7,3,1,3,3,34,-2
Dwyane Wade,46:33,6,20,.300,0,4,.000,5,6,.833,2,2,4,7,2,1,6,5,17,-9
Chris Bosh,46:16,7,12,.583,0,1,.000,2,2,1.000,5,11,16,0,0,1,5,4,16,+1
Mario Chalmers,22:09,0,3,.000,0,1,.000,0,0,,0,1,1,2,0,0,3,4,0,-8
Udonis Haslem,14:56,1,2,.500,0,0,,0,0,,3,3,6,1,1,0,0,1,2,+2
Chris Bosh,36:20,7,14,.500,0,0,,2,2,1.000,2,2,4,0,0,0,3,1,16,+11
LeBron James,34:17,10,18,.556,3,4,.750,1,4,.250,2,7,9,7,2,0,4,2,24,+22
Dwyane Wade,33:43,9,16,.563,1,1,1.000,2,4,.500,0,2,2,3,1,0,3,3,21,+12
Mario Chalmers,25:05,5,7,.714,1,2,.500,0,0,,1,3,4,4,3,0,0,2,11,+15
Udonis Haslem,22:57,2,5,.400,0,0,,1,1,1.000,2,3,5,2,0,0,0,4,5,+27
LeBron James,41:58,9,17,.529,1,3,.333,9,11,.818,1,5,6,3,1,1,3,4,28,-9
Dwyane Wade,41:15,7,16,.438,0,0,,3,6,.500,2,4,6,5,2,2,1,2,17,-6
Chris Bosh,32:32,5,11,.455,0,0,,3,4,.750,1,1,2,0,0,0,2,4,13,-14
Udonis Haslem,23:20,2,4,.500,0,0,,0,0,,1,2,3,2,0,0,0,3,4,-9
Mario Chalmers,20:58,2,5,.400,1,2,.500,2,2,1.000,0,0,0,4,0,0,1,2,7,-13
LeBron James,39:44,10,16,.625,1,2,.500,9,11,.818,0,8,8,7,2,0,3,1,30,+29
Chris Bosh,33:42,12,19,.632,1,1,1.000,3,4,.750,0,5,5,0,1,1,3,3,28,+17
Dwyane Wade,31:56,10,18,.556,0,1,.000,3,4,.750,0,5,5,5,3,1,3,3,23,+21
Mario Chalmers,30:08,1,6,.167,0,2,.000,0,0,,0,2,2,5,4,0,1,3,2,+17
Udonis Haslem,15:38,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,0,4,4,+5
LeBron James,38:00,13,14,.929,0,0,,5,6,.833,0,8,8,8,2,0,5,1,31,+8
Dwyane Wade,37:57,7,19,.368,0,1,.000,6,10,.600,6,6,12,4,1,2,5,3,20,+4
Chris Bosh,29:57,11,18,.611,0,0,,1,3,.333,2,2,4,1,1,0,0,3,23,+1
Mario Chalmers,21:05,1,6,.167,0,3,.000,1,1,1.000,0,1,1,2,0,1,0,3,3,0
Udonis Haslem,17:56,1,2,.500,0,0,,0,0,,1,3,4,1,0,0,0,2,2,-2
LeBron James,36:37,11,18,.611,3,6,.500,7,10,.700,1,5,6,5,0,2,4,2,32,+4
Dwyane Wade,35:28,9,18,.500,0,1,.000,13,13,1.000,1,4,5,8,4,2,2,2,31,+13
Shane Battier,29:08,4,6,.667,4,6,.667,0,0,,0,1,1,3,0,0,1,2,12,+15
Udonis Haslem,28:25,4,7,.571,0,0,,1,1,1.000,2,11,13,0,1,0,0,3,9,+10
Mario Chalmers,26:02,2,5,.400,1,1,1.000,0,0,,0,0,0,3,1,0,0,1,5,+9
Dwyane Wade,38:54,12,18,.667,0,1,.000,6,6,1.000,0,2,2,5,3,1,4,4,30,+7
LeBron James,36:15,12,18,.667,1,2,.500,7,8,.875,1,6,7,4,3,0,4,4,32,+7
Chris Bosh,33:52,6,13,.462,0,1,.000,0,0,,4,7,11,1,2,1,0,2,12,+4
Mario Chalmers,29:17,6,11,.545,1,2,.500,0,0,,1,3,4,3,0,1,0,4,13,+6
Udonis Haslem,12:22,1,2,.500,0,0,,0,0,,1,4,5,0,0,0,0,4,2,-2
LeBron James,38:45,11,15,.733,1,3,.333,7,8,.875,0,6,6,9,3,2,1,0,30,+21
Dwyane Wade,35:36,8,18,.444,0,0,,8,10,.800,5,4,9,7,1,2,4,2,24,+19
Mario Chalmers,33:31,2,5,.400,1,3,.333,0,0,,0,2,2,4,1,0,1,4,5,+41
Chris Bosh,31:41,13,16,.813,0,1,.000,6,6,1.000,3,8,11,0,2,0,0,3,32,+34
Udonis Haslem,8:37,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,1,0,0,3,+3
LeBron James,40:02,14,24,.583,4,8,.500,7,9,.778,3,9,12,7,2,0,4,3,39,+15
Chris Bosh,38:46,10,14,.714,0,0,,0,0,,5,7,12,2,2,3,1,2,20,+15
Dwyane Wade,30:58,5,13,.385,0,0,,3,3,1.000,0,5,5,8,3,1,4,6,13,+9
Mario Chalmers,27:45,2,7,.286,2,5,.400,0,2,.000,0,2,2,1,1,0,2,3,6,0
Shane Battier,26:51,2,6,.333,2,5,.400,0,0,,1,1,2,1,1,0,0,3,6,0
LeBron James,39:31,8,15,.533,1,4,.250,7,8,.875,0,6,6,11,4,0,2,1,24,+16
Dwyane Wade,34:34,8,18,.444,0,0,,4,8,.500,1,2,3,2,3,0,4,0,20,+5
Chris Bosh,28:08,2,10,.200,0,1,.000,2,2,1.000,0,6,6,1,0,0,2,3,6,+1
Mario Chalmers,21:08,6,9,.667,2,4,.500,0,0,,1,1,2,3,2,0,1,3,14,-6
Udonis Haslem,19:27,1,2,.500,0,0,,1,1,1.000,2,3,5,0,0,0,0,3,3,-5
Dwyane Wade,36:45,8,15,.533,0,0,,1,2,.500,2,6,8,5,2,2,5,0,17,+23
LeBron James,34:29,11,15,.733,1,4,.250,3,3,1.000,1,11,12,7,2,0,4,2,26,+6
Chris Bosh,32:06,5,9,.556,0,1,.000,2,4,.500,2,2,4,0,3,0,3,2,12,+12
Mario Chalmers,27:28,4,10,.400,0,2,.000,0,0,,0,3,3,5,1,0,2,2,8,+6
Udonis Haslem,16:22,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,0,3,0,-3
Dwyane Wade,32:26,14,18,.778,0,1,.000,5,7,.714,1,5,6,2,2,0,1,3,33,+24
LeBron James,31:30,7,12,.583,1,4,.250,1,2,.500,1,9,10,11,2,0,2,1,16,+14
Mario Chalmers,26:54,5,8,.625,2,5,.400,2,2,1.000,0,0,0,6,3,0,1,0,14,+15
Chris Bosh,24:45,6,12,.500,0,2,.000,1,1,1.000,0,1,1,1,0,0,0,0,13,+15
Udonis Haslem,19:41,2,4,.500,0,0,,0,0,,2,5,7,1,0,0,0,1,4,+11
LeBron James,38:51,10,19,.526,0,1,.000,8,11,.727,2,1,3,8,1,0,2,0,28,+6
Dwyane Wade,38:25,11,22,.500,0,0,,2,3,.667,0,5,5,6,1,2,1,3,24,-6
Mario Chalmers,34:57,4,6,.667,4,5,.800,4,4,1.000,0,3,3,4,2,0,3,3,16,+8
Chris Bosh,32:11,3,7,.429,1,1,1.000,0,0,,2,3,5,3,0,4,1,1,7,+10
Udonis Haslem,18:08,2,2,1.000,0,0,,3,4,.750,0,10,10,0,1,1,0,4,7,+12
LeBron James,47:45,14,23,.609,1,2,.500,11,12,.917,3,5,8,16,2,1,2,1,40,+11
Dwyane Wade,45:28,19,28,.679,1,2,.500,0,2,.000,2,6,8,7,3,2,4,1,39,+5
Chris Bosh,41:10,5,13,.385,0,2,.000,5,6,.833,1,7,8,2,3,4,1,3,15,+1
Mario Chalmers,32:30,2,8,.250,2,5,.400,0,0,,0,1,1,4,1,0,1,4,6,+11
Udonis Haslem,21:58,2,3,.667,0,0,,1,2,.500,2,2,4,2,1,0,0,3,5,+1
LeBron James,42:06,4,14,.286,2,4,.500,8,12,.667,1,7,8,10,2,1,1,1,18,-1
Dwyane Wade,35:42,9,16,.563,0,1,.000,4,6,.667,2,2,4,8,2,1,2,2,22,+14
Chris Bosh,32:31,6,12,.500,0,1,.000,1,2,.500,0,6,6,1,0,0,3,2,13,+4
Mario Chalmers,18:26,3,6,.500,2,3,.667,1,1,1.000,0,0,0,2,1,0,1,3,9,-2
Udonis Haslem,16:01,2,5,.400,0,0,,0,0,,1,1,2,0,0,0,0,1,4,+1
LeBron James,42:50,12,23,.522,2,6,.333,3,6,.500,3,8,11,7,3,1,2,1,29,+9
Dwyane Wade,36:56,8,16,.500,0,1,.000,4,5,.800,2,6,8,8,1,0,4,0,20,+8
Chris Bosh,36:35,7,17,.412,0,1,.000,2,3,.667,1,0,1,0,1,0,2,4,16,+2
Mario Chalmers,29:35,2,5,.400,1,4,.250,1,1,1.000,1,3,4,1,2,0,4,4,6,+9
Udonis Haslem,16:17,2,4,.500,0,0,,0,0,,1,5,6,0,0,0,0,2,4,+9
Dwyane Wade,37:42,15,23,.652,0,0,,2,3,.667,2,5,7,10,1,0,5,1,32,+23
LeBron James,34:53,9,16,.563,1,4,.250,1,1,1.000,1,9,10,4,3,2,7,3,20,+10
Chris Bosh,31:07,3,5,.600,0,1,.000,5,6,.833,2,7,9,1,3,0,1,2,11,+13
Mario Chalmers,22:39,1,4,.250,1,4,.250,1,2,.500,0,1,1,2,1,0,3,0,4,+10
Udonis Haslem,17:08,1,1,1.000,0,0,,0,0,,0,5,5,0,0,0,3,3,2,+8
Dwyane Wade,38:39,10,16,.625,0,1,.000,4,4,1.000,3,3,6,3,4,1,2,2,24,+5
LeBron James,38:13,7,14,.500,1,6,.167,11,12,.917,0,3,3,2,0,1,2,0,26,+8
Chris Bosh,33:22,5,15,.333,0,1,.000,7,8,.875,2,8,10,3,2,2,4,1,17,+5
Mario Chalmers,23:05,2,8,.250,1,6,.167,0,0,,0,1,1,5,1,0,0,4,5,+1
Udonis Haslem,16:51,2,2,1.000,0,0,,0,0,,1,3,4,0,0,0,0,1,4,-1
Dwyane Wade,35:33,9,16,.563,0,1,.000,4,4,1.000,0,2,2,4,3,1,4,1,22,-9
LeBron James,34:14,10,17,.588,2,3,.667,3,5,.600,3,7,10,5,1,2,3,2,25,+19
Chris Bosh,31:18,7,14,.500,0,0,,2,3,.667,1,3,4,4,1,1,1,0,16,+6
Mario Chalmers,22:09,3,4,.750,2,3,.667,0,0,,0,4,4,4,0,0,2,2,8,+1
Udonis Haslem,16:10,1,1,1.000,0,0,,0,0,,0,4,4,0,0,1,1,0,2,-2
LeBron James,36:21,5,10,.500,0,0,,3,5,.600,1,5,6,7,1,1,4,1,13,+23
Dwyane Wade,36:09,9,16,.563,0,1,.000,5,6,.833,0,2,2,3,6,0,4,3,23,+26
Mario Chalmers,32:58,7,9,.778,5,6,.833,7,7,1.000,1,6,7,2,2,0,2,3,26,+30
Chris Bosh,32:55,11,15,.733,1,2,.500,1,2,.500,1,2,3,4,1,3,0,3,24,+26
Udonis Haslem,18:11,0,1,.000,0,0,,0,0,,0,3,3,1,0,1,0,3,0,+19
LeBron James,30:07,3,11,.273,0,2,.000,9,12,.750,3,4,7,7,2,0,4,1,15,+21
Dwyane Wade,30:05,9,18,.500,0,1,.000,5,6,.833,3,1,4,6,5,0,1,2,23,+12
Mario Chalmers,26:02,5,8,.625,4,7,.571,0,0,,1,2,3,5,3,1,2,2,14,+19
Chris Bosh,24:23,6,12,.500,0,1,.000,2,2,1.000,0,3,3,1,0,2,0,0,14,+20
Udonis Haslem,23:45,3,7,.429,0,0,,0,0,,2,9,11,1,0,0,0,2,6,+19
Dwyane Wade,39:14,7,14,.500,0,0,,7,8,.875,3,5,8,3,0,1,3,1,21,+1
LeBron James,37:14,8,19,.421,1,4,.250,10,12,.833,2,5,7,8,2,1,4,1,27,+7
Mario Chalmers,32:08,3,9,.333,0,5,.000,1,1,1.000,0,2,2,4,1,0,0,1,7,+13
Chris Bosh,31:37,5,11,.455,0,0,,0,0,,1,4,5,1,2,3,2,1,10,+8
Udonis Haslem,17:47,2,2,1.000,0,0,,1,2,.500,1,3,4,0,0,0,0,2,5,-7
LeBron James,38:14,12,24,.500,0,2,.000,4,5,.800,1,9,10,7,0,1,2,1,28,+5
Chris Bosh,35:43,12,16,.750,2,3,.667,2,3,.667,2,5,7,0,1,2,2,0,28,+14
Dwyane Wade,33:17,8,17,.471,0,0,,4,5,.800,3,4,7,9,2,1,2,0,20,+21
Mario Chalmers,26:31,2,6,.333,1,4,.250,2,2,1.000,0,3,3,3,2,0,2,3,7,+12
Udonis Haslem,21:42,0,1,.000,0,0,,0,0,,1,5,6,1,0,0,0,2,0,+11
Dwyane Wade,34:38,10,15,.667,0,0,,4,6,.667,0,3,3,8,1,0,2,3,24,+30
LeBron James,33:50,6,12,.500,2,6,.333,8,11,.727,1,11,12,8,2,0,3,1,22,+10
Chris Bosh,28:37,7,10,.700,2,3,.667,2,4,.500,0,2,2,0,2,0,1,0,18,+14
Mario Chalmers,25:20,0,5,.000,0,3,.000,1,1,1.000,0,2,2,7,0,0,2,2,1,+1
Udonis Haslem,18:21,1,1,1.000,0,0,,0,0,,1,0,1,2,0,0,0,1,2,+1
LeBron James,42:15,16,29,.552,1,4,.250,4,6,.667,1,6,7,12,2,2,5,3,37,+13
Chris Bosh,36:51,6,10,.600,0,1,.000,1,2,.500,0,5,5,2,0,2,1,0,13,+20
Mario Chalmers,36:34,6,10,.600,4,5,.800,5,6,.833,1,2,3,2,2,1,2,2,21,+14
Dwyane Wade,35:31,7,15,.467,0,0,,2,5,.400,1,6,7,6,3,0,2,2,16,+13
Udonis Haslem,17:27,2,4,.500,0,0,,0,0,,2,3,5,1,0,0,0,5,4,+3
LeBron James,42:19,8,22,.364,3,7,.429,6,8,.750,7,5,12,10,3,2,4,1,25,+1
Dwyane Wade,38:14,4,11,.364,0,1,.000,3,4,.750,0,6,6,5,0,0,2,3,11,-4
Chris Bosh,35:38,5,10,.500,0,2,.000,1,2,.500,3,4,7,3,1,2,1,3,11,-18
Mario Chalmers,34:08,5,8,.625,3,6,.500,4,5,.800,0,0,0,2,0,0,4,4,17,-2
Udonis Haslem,13:23,2,3,.667,0,0,,2,2,1.000,1,1,2,0,0,0,1,2,6,-8
LeBron James,39:53,12,15,.800,1,1,1.000,4,6,.667,1,7,8,8,2,1,3,1,29,+14
Dwyane Wade,37:52,7,17,.412,1,2,.500,4,6,.667,1,2,3,4,3,0,6,1,19,+5
Chris Bosh,31:18,1,7,.143,0,0,,3,6,.500,0,6,6,1,1,1,3,2,5,+6
Mario Chalmers,25:39,3,6,.500,3,6,.500,2,2,1.000,0,1,1,3,4,0,3,2,11,+6
Udonis Haslem,17:54,2,3,.667,0,0,,0,0,,2,5,7,0,1,0,1,2,4,+1
LeBron James,34:10,11,14,.786,0,1,.000,10,11,.909,0,8,8,10,3,3,4,0,32,+22
Chris Bosh,31:21,5,12,.417,0,1,.000,5,6,.833,1,5,6,1,1,3,0,1,15,+5
Mario Chalmers,26:25,0,4,.000,0,4,.000,2,2,1.000,0,0,0,3,1,1,2,2,2,-1
Mike Miller,21:38,2,7,.286,2,6,.333,0,0,,0,3,3,4,1,0,0,2,6,-6
Udonis Haslem,15:55,0,3,.000,0,0,,1,2,.500,1,4,5,1,1,0,0,0,1,-6
LeBron James,38:45,9,16,.563,0,0,,6,10,.600,1,8,9,11,1,0,3,2,24,+25
Mario Chalmers,32:53,4,8,.500,4,5,.800,5,5,1.000,1,3,4,5,3,1,1,1,17,+15
Chris Bosh,27:10,4,14,.286,0,0,,4,6,.667,3,6,9,4,1,1,1,1,12,+17
Mike Miller,20:29,3,6,.500,0,2,.000,1,2,.500,0,5,5,1,0,0,2,2,7,-4
Udonis Haslem,17:31,3,4,.750,0,0,,0,0,,5,5,10,2,0,1,0,0,6,-8
LeBron James,39:56,11,17,.647,2,5,.400,8,11,.727,0,7,7,3,2,4,4,1,32,+2
Dwyane Wade,37:44,7,13,.538,0,0,,4,7,.571,2,5,7,2,4,1,3,3,18,-2
Chris Bosh,35:26,8,17,.471,1,2,.500,4,5,.800,2,2,4,1,1,4,2,0,21,+4
Mario Chalmers,29:20,4,10,.400,1,5,.200,0,0,,0,3,3,4,1,0,0,3,9,+5
Udonis Haslem,10:29,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,2,5,0,-1
Dwyane Wade,32:47,7,11,.636,0,1,.000,3,4,.750,0,0,0,9,4,1,6,1,17,+11
LeBron James,32:13,13,20,.650,7,10,.700,3,5,.600,0,4,4,6,2,0,3,0,36,+19
Udonis Haslem,22:23,1,4,.250,0,0,,2,2,1.000,1,4,5,0,0,0,0,1,4,+16
Mike Miller,22:11,2,5,.400,1,4,.250,1,2,.500,0,6,6,2,1,0,0,2,6,+3
Chris Bosh,21:39,5,8,.625,0,1,.000,0,0,,0,4,4,2,0,1,3,4,10,+12
Norris Cole,42:54,4,12,.333,0,2,.000,5,7,.714,0,1,1,4,1,0,2,3,13,+6
Chris Bosh,36:39,9,15,.600,3,5,.600,2,2,1.000,1,8,9,3,0,2,2,2,23,+5
Rashard Lewis,30:25,3,11,.273,1,6,.167,0,0,,0,3,3,3,1,4,1,2,7,+9
Mike Miller,24:20,4,8,.500,4,6,.667,0,0,,0,3,3,5,0,0,0,2,12,+7
Udonis Haslem,20:52,4,7,.571,0,0,,0,0,,2,5,7,0,0,0,0,2,8,+14
Norris Cole,41:38,6,12,.500,1,2,.500,1,2,.500,0,2,2,3,2,0,7,3,14,-16
Chris Bosh,39:02,6,13,.462,1,3,.333,10,10,1.000,2,4,6,4,0,0,2,2,23,-4
Mike Miller,36:35,7,12,.583,4,8,.500,0,0,,2,6,8,4,1,2,3,0,18,-6
Rashard Lewis,27:31,0,2,.000,0,0,,0,0,,0,3,3,1,1,1,3,2,0,-10
Udonis Haslem,20:24,3,4,.750,0,0,,2,2,1.000,2,0,2,0,1,0,0,1,8,-9
Chris Bosh,37:18,6,14,.429,1,3,.333,5,6,.833,1,7,8,6,1,1,3,2,18,+2
Rashard Lewis,32:10,5,12,.417,2,6,.333,2,2,1.000,2,3,5,2,1,1,3,1,14,+14
Mike Miller,30:26,9,15,.600,7,11,.636,1,2,.500,2,3,5,4,0,0,2,1,26,+6
Mario Chalmers,27:04,1,4,.250,0,2,.000,4,4,1.000,1,0,1,7,3,0,3,3,6,+7
Udonis Haslem,18:06,1,2,.500,0,0,,0,0,,1,6,7,0,0,0,2,3,2,+5
LeBron James,29:42,12,17,.706,1,2,.500,2,2,1.000,0,4,4,5,1,0,1,1,27,+22
Mario Chalmers,23:45,4,10,.400,3,8,.375,0,0,,1,2,3,4,0,0,2,1,11,+4
Mike Miller,22:39,1,3,.333,1,2,.500,0,0,,1,3,4,3,1,0,2,2,3,+8
Udonis Haslem,17:36,4,9,.444,0,0,,2,2,1.000,1,4,5,0,0,1,1,2,10,+10
Joel Anthony,17:21,1,3,.333,0,0,,0,0,,1,3,4,1,1,0,0,1,2,+4
LeBron James,30:04,11,16,.688,0,1,.000,6,6,1.000,1,6,7,7,2,1,3,0,28,+21
Mario Chalmers,28:39,2,4,.500,1,3,.333,0,0,,0,1,1,3,2,0,1,2,5,+21
Udonis Haslem,23:35,5,10,.500,0,0,,0,0,,5,10,15,0,0,1,1,2,10,+16
Mike Miller,21:00,2,7,.286,1,5,.200,0,0,,1,3,4,4,0,0,1,0,5,+14
Shane Battier,20:41,1,5,.200,1,5,.200,0,0,,0,0,0,1,2,0,0,2,3,+14
Rashard Lewis,36:59,5,14,.357,3,8,.375,4,4,1.000,3,2,5,1,0,1,2,3,17,+5
Mario Chalmers,29:36,5,14,.357,3,7,.429,0,0,,1,3,4,8,1,0,4,3,13,+6
Shane Battier,28:18,5,8,.625,5,8,.625,0,0,,1,2,3,1,1,0,1,2,15,+5
Mike Miller,24:15,5,7,.714,4,6,.667,0,0,,0,8,8,1,0,0,6,1,14,+1
Joel Anthony,21:20,1,3,.333,0,0,,0,0,,2,4,6,1,0,2,1,1,2,-5
Dwyane Wade,34:28,4,12,.333,0,0,,3,6,.500,0,7,7,6,2,1,5,2,11,+8
Mario Chalmers,31:51,3,5,.600,3,5,.600,0,0,,0,4,4,3,0,0,0,2,9,-9
LeBron James,28:51,8,10,.800,0,0,,4,4,1.000,1,5,6,9,0,0,1,1,20,+6
Chris Bosh,24:46,6,10,.600,0,0,,5,6,.833,1,6,7,1,0,0,0,3,17,+2
Mike Miller,24:00,0,6,.000,0,6,.000,0,0,,0,1,1,4,1,0,0,0,0,-6
Dwyane Wade,36:37,7,12,.583,0,0,,8,14,.571,1,3,4,4,2,2,2,3,22,+23
LeBron James,34:51,7,12,.583,1,1,1.000,9,12,.750,0,7,7,6,1,0,3,2,24,+8
Mario Chalmers,32:27,5,12,.417,2,7,.286,3,4,.750,0,3,3,5,1,0,1,3,15,+11
Chris Bosh,31:08,6,8,.750,0,1,.000,0,0,,0,9,9,2,1,4,2,4,12,+9
Mike Miller,29:09,4,6,.667,3,4,.750,0,0,,0,6,6,4,2,0,1,4,11,+19
Chris Bosh,36:57,8,15,.533,0,1,.000,3,4,.750,2,8,10,1,0,3,1,3,19,+15
Mario Chalmers,36:29,3,7,.429,0,1,.000,2,2,1.000,0,1,1,11,3,0,1,3,8,+11
Dwyane Wade,35:07,10,22,.455,0,0,,9,11,.818,2,1,3,4,2,1,4,3,29,-6
Shane Battier,29:05,2,4,.500,2,3,.667,0,0,,0,2,2,1,1,0,0,3,6,+12
LeBron James,28:52,10,16,.625,2,4,.500,4,5,.800,1,9,10,3,2,0,0,2,26,+12
LeBron James,36:41,8,16,.500,2,3,.667,5,6,.833,0,7,7,5,0,3,5,2,23,-21
Dwyane Wade,34:47,7,10,.700,0,0,,1,1,1.000,0,5,5,4,0,0,4,2,15,-16
Chris Bosh,26:46,5,13,.385,0,1,.000,2,2,1.000,4,7,11,1,1,1,3,1,12,-13
Shane Battier,24:27,1,3,.333,0,2,.000,0,0,,1,1,2,0,2,1,2,3,2,-20
Mario Chalmers,19:34,1,5,.200,0,3,.000,1,2,.500,0,1,1,1,0,0,2,6,3,-10
