G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
30,Wed Jan 2 2013,01/02/2013,San Antonio Spurs,L,110,117,16,14,L 2
31,Fri Jan 4 2013,01/04/2013,Houston Rockets,L,101,115,16,15,L 3
32,Sat Jan 5 2013,01/05/2013,Indiana Pacers,L,80,95,16,16,L 4
33,Tue Jan 8 2013,01/08/2013,Phoenix Suns,W,108,99,17,16,W 1
34,Wed Jan 9 2013,01/09/2013,Chicago Bulls,W,104,96,18,16,W 2
35,Fri Jan 11 2013,01/11/2013,Detroit Pistons,L,87,103,18,17,L 1
36,Sun Jan 13 2013,01/13/2013,Toronto Raptors,W,107,96,19,17,W 1
37,Tue Jan 15 2013,01/15/2013,Los Angeles Lakers,L,88,104,19,18,L 1
38,Thu Jan 17 2013,01/17/2013,Phoenix Suns,W,98,94,20,18,W 1
39,Sat Jan 19 2013,01/19/2013,Portland Trail Blazers,W,110,104,21,18,W 2
40,Tue Jan 22 2013,01/22/2013,Philadelphia 76ers,W,110,102,22,18,W 3
41,Fri Jan 25 2013,01/25/2013,Cleveland Cavaliers,L,108,113,22,19,L 1
42,Sat Jan 26 2013,01/26/2013,Golden State Warriors,W,109,102,23,19,W 1
43,Tue Jan 29 2013,01/29/2013,Detroit Pistons,W,117,90,24,19,W 2
44,Wed Jan 30 2013,01/30/2013,Chicago Bulls,L,88,104,24,20,L 1
45,Fri Feb 1 2013,02/01/2013,New York Knicks,L,86,96,24,21,L 2
46,Sat Feb 2 2013,02/02/2013,Orlando Magic,W,107,98,25,21,W 1
47,Tue Feb 5 2013,02/05/2013,Denver Nuggets,L,104,112,25,22,L 1
48,Wed Feb 6 2013,02/06/2013,Utah Jazz,L,86,100,25,23,L 2
49,Sat Feb 9 2013,02/09/2013,Detroit Pistons,L,100,105,25,24,L 3
50,Mon Feb 11 2013,02/11/2013,Washington Wizards,L,90,102,25,25,L 4
51,Wed Feb 13 2013,02/13/2013,Philadelphia 76ers,W,94,92,26,25,W 1
52,Tue Feb 19 2013,02/19/2013,Brooklyn Nets,L,111,113,26,26,L 1
53,Wed Feb 20 2013,02/20/2013,Brooklyn Nets,L,94,97,26,27,L 2
54,Sat Feb 23 2013,02/23/2013,Atlanta Hawks,L,102,103,26,28,L 3
55,Tue Feb 26 2013,02/26/2013,Dallas Mavericks,W,95,90,27,28,W 1
56,Wed Feb 27 2013,02/27/2013,Houston Rockets,W,110,107,28,28,W 2
57,Sat Mar 2 2013,03/02/2013,Toronto Raptors,W,122,114,29,28,W 3
58,Mon Mar 4 2013,03/04/2013,Utah Jazz,W,109,108,30,28,W 4
59,Wed Mar 6 2013,03/06/2013,Los Angeles Clippers,L,101,117,30,29,L 1
60,Sat Mar 9 2013,03/09/2013,Golden State Warriors,W,103,93,31,29,W 1
61,Sun Mar 10 2013,03/10/2013,Sacramento Kings,W,115,113,32,29,W 2
62,Tue Mar 12 2013,03/12/2013,Dallas Mavericks,L,108,115,32,30,L 1
63,Wed Mar 13 2013,03/13/2013,Washington Wizards,L,93,106,32,31,L 2
64,Fri Mar 15 2013,03/15/2013,Miami Heat,L,94,107,32,32,L 3
65,Sun Mar 17 2013,03/17/2013,Orlando Magic,W,115,109,33,32,W 1
66,Tue Mar 19 2013,03/19/2013,Portland Trail Blazers,W,102,95,34,32,W 2
67,Wed Mar 20 2013,03/20/2013,Atlanta Hawks,L,90,98,34,33,L 1
68,Fri Mar 22 2013,03/22/2013,Indiana Pacers,L,78,102,34,34,L 2
69,Sun Mar 24 2013,03/24/2013,Atlanta Hawks,L,99,104,34,35,L 3
70,Wed Mar 27 2013,03/27/2013,Philadelphia 76ers,L,92,100,34,36,L 4
71,Thu Mar 28 2013,03/28/2013,Los Angeles Lakers,W,113,103,35,36,W 1
72,Sat Mar 30 2013,03/30/2013,Oklahoma City Thunder,L,99,109,35,37,L 1
73,Mon Apr 1 2013,04/01/2013,Charlotte Bobcats,W,131,102,36,37,W 1
74,Wed Apr 3 2013,04/03/2013,Minnesota Timberwolves,L,98,107,36,38,L 1
75,Fri Apr 5 2013,04/05/2013,New York Knicks,L,83,101,36,39,L 2
76,Sat Apr 6 2013,04/06/2013,Toronto Raptors,W,100,83,37,39,W 1
77,Tue Apr 9 2013,04/09/2013,Miami Heat,L,83,94,37,40,L 1
78,Wed Apr 10 2013,04/10/2013,Orlando Magic,L,103,113,37,41,L 2
79,Fri Apr 12 2013,04/12/2013,Atlanta Hawks,L,104,109,37,42,L 3
80,Sat Apr 13 2013,04/13/2013,Charlotte Bobcats,L,85,95,37,43,L 4
81,Mon Apr 15 2013,04/15/2013,Denver Nuggets,L,111,112,37,44,L 5
82,Wed Apr 17 2013,04/17/2013,Oklahoma City Thunder,W,95,89,38,44,W 1
