Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
New Orleans Hornets,Memphis Grizzlies,W,01/27/2013,240:00,33,77,0.429,9,20,0.45,16,23,0.696,14,29,43,20,6,7,15,19,91,8
Memphis Grizzlies,New Orleans Hornets,L,01/27/2013,240:00,32,88,0.364,3,16,0.188,16,18,0.889,22,25,47,18,10,7,15,17,83,-8
New York Knicks,Atlanta Hawks,W,01/27/2013,240:00,39,72,0.542,16,27,0.593,12,17,0.706,6,20,26,22,6,3,14,17,106,2
Atlanta Hawks,New York Knicks,L,01/27/2013,240:00,39,65,0.6,10,23,0.435,16,20,0.8,7,23,30,21,7,2,19,21,104,-2
Phoenix Suns,Dallas Mavericks,L,01/27/2013,240:00,34,77,0.442,4,17,0.235,23,28,0.821,8,30,38,22,7,6,17,15,95,-15
Dallas Mavericks,Phoenix Suns,W,01/27/2013,240:00,45,88,0.511,5,11,0.455,15,18,0.833,12,32,44,26,8,0,13,24,110,15
Portland Trail Blazers,Los Angeles Clippers,L,01/27/2013,240:00,29,66,0.439,3,15,0.2,22,29,0.759,9,30,39,28,9,4,19,13,83,-13
Los Angeles Clippers,Portland Trail Blazers,W,01/27/2013,240:00,42,82,0.512,6,17,0.353,6,9,0.667,8,29,37,33,8,2,12,23,96,13
Toronto Raptors,Golden State Warriors,L,01/28/2013,240:00,38,87,0.437,6,19,0.316,20,23,0.87,11,26,37,28,7,4,10,18,102,-12
Golden State Warriors,Toronto Raptors,W,01/28/2013,240:00,46,86,0.535,6,15,0.4,16,20,0.8,13,36,49,22,4,8,13,19,114,12
Philadelphia 76ers,Memphis Grizzlies,L,01/28/2013,240:00,45,83,0.542,4,9,0.444,6,9,0.667,6,21,27,25,8,4,9,14,100,-3
Memphis Grizzlies,Philadelphia 76ers,W,01/28/2013,240:00,40,73,0.548,8,13,0.615,15,19,0.789,9,29,38,26,6,4,17,15,103,3
Washington Wizards,Sacramento Kings,L,01/28/2013,240:00,37,77,0.481,3,11,0.273,17,21,0.81,10,35,45,20,4,2,20,19,94,-2
Sacramento Kings,Washington Wizards,W,01/28/2013,240:00,36,82,0.439,9,23,0.391,15,25,0.6,7,28,35,24,14,3,10,19,96,2
Orlando Magic,Brooklyn Nets,L,01/28/2013,240:00,32,79,0.405,6,27,0.222,7,9,0.778,11,25,36,24,9,5,15,12,77,-20
Brooklyn Nets,Orlando Magic,W,01/28/2013,240:00,37,74,0.5,13,29,0.448,10,12,0.833,12,33,45,23,8,3,20,13,97,20
Chicago Bulls,Charlotte Bobcats,W,01/28/2013,240:00,35,78,0.449,7,18,0.389,16,25,0.64,15,33,48,22,5,14,11,20,93,8
Charlotte Bobcats,Chicago Bulls,L,01/28/2013,240:00,32,81,0.395,6,12,0.5,15,21,0.714,11,30,41,12,3,5,10,20,85,-8
Indiana Pacers,Denver Nuggets,L,01/28/2013,240:00,39,85,0.459,11,23,0.478,12,17,0.706,16,27,43,23,6,5,18,27,101,-1
Denver Nuggets,Indiana Pacers,W,01/28/2013,240:00,37,78,0.474,7,14,0.5,21,30,0.7,9,32,41,23,10,4,14,23,102,1
Utah Jazz,Houston Rockets,L,01/28/2013,240:00,32,81,0.395,5,18,0.278,11,19,0.579,14,25,39,19,2,9,15,19,80,-45
Houston Rockets,Utah Jazz,W,01/28/2013,240:00,47,89,0.528,16,34,0.471,15,18,0.833,10,34,44,27,12,4,5,18,125,45
Golden State Warriors,Cleveland Cavaliers,W,01/29/2013,240:00,45,84,0.536,11,16,0.688,7,10,0.7,7,32,39,31,8,9,14,23,108,13
Cleveland Cavaliers,Golden State Warriors,L,01/29/2013,240:00,36,84,0.429,4,18,0.222,19,25,0.76,12,24,36,27,8,4,11,13,95,-13
Milwaukee Bucks,Detroit Pistons,W,01/29/2013,240:00,46,98,0.469,11,23,0.478,14,22,0.636,21,27,48,28,13,8,10,21,117,27
Detroit Pistons,Milwaukee Bucks,L,01/29/2013,240:00,34,84,0.405,2,11,0.182,20,28,0.714,21,30,51,18,7,4,20,20,90,-27
Portland Trail Blazers,Dallas Mavericks,W,01/29/2013,240:00,39,86,0.453,10,28,0.357,18,23,0.783,15,31,46,24,8,5,14,14,106,2
Dallas Mavericks,Portland Trail Blazers,L,01/29/2013,240:00,42,84,0.5,8,15,0.533,12,15,0.8,10,30,40,31,8,2,16,21,104,-2
New Orleans Hornets,Los Angeles Lakers,L,01/29/2013,240:00,39,92,0.424,9,19,0.474,19,21,0.905,8,29,37,21,8,0,9,25,106,-5
Los Angeles Lakers,New Orleans Hornets,W,01/29/2013,240:00,39,79,0.494,12,33,0.364,21,33,0.636,9,41,50,34,7,4,14,17,111,5
Washington Wizards,Philadelphia 76ers,L,01/30/2013,240:00,30,75,0.4,7,22,0.318,17,21,0.81,8,38,46,22,5,6,18,15,84,-8
Philadelphia 76ers,Washington Wizards,W,01/30/2013,240:00,40,95,0.421,6,13,0.462,6,10,0.6,11,32,43,27,9,6,9,17,92,8
Indiana Pacers,Detroit Pistons,W,01/30/2013,240:00,36,81,0.444,7,14,0.5,19,21,0.905,15,41,56,23,8,4,17,18,98,19
Detroit Pistons,Indiana Pacers,L,01/30/2013,240:00,32,88,0.364,3,18,0.167,12,27,0.444,16,28,44,11,8,10,13,17,79,-19
Sacramento Kings,Boston Celtics,L,01/30/2013,240:00,29,73,0.397,6,17,0.353,17,26,0.654,11,27,38,13,11,1,18,19,81,-18
Boston Celtics,Sacramento Kings,W,01/30/2013,240:00,39,73,0.534,5,16,0.313,16,20,0.8,6,32,38,22,9,4,16,22,99,18
Orlando Magic,New York Knicks,L,01/30/2013,240:00,38,77,0.494,7,26,0.269,14,16,0.875,8,23,31,14,4,0,10,13,97,-16
New York Knicks,Orlando Magic,W,01/30/2013,240:00,47,82,0.573,14,34,0.412,5,8,0.625,10,26,36,30,4,4,9,18,113,16
Toronto Raptors,Atlanta Hawks,L,01/30/2013,240:00,33,85,0.388,9,22,0.409,17,23,0.739,15,37,52,16,6,5,17,18,92,-1
Atlanta Hawks,Toronto Raptors,W,01/30/2013,240:00,36,75,0.48,10,26,0.385,11,18,0.611,3,33,36,26,10,8,17,18,93,1
Miami Heat,Brooklyn Nets,W,01/30/2013,240:00,43,83,0.518,11,19,0.579,8,14,0.571,13,25,38,21,10,3,13,20,105,20
Brooklyn Nets,Miami Heat,L,01/30/2013,240:00,31,69,0.449,5,17,0.294,18,24,0.75,10,24,34,20,7,6,19,13,85,-20
Milwaukee Bucks,Chicago Bulls,L,01/30/2013,240:00,34,82,0.415,6,14,0.429,14,19,0.737,15,26,41,17,3,7,18,19,88,-16
Chicago Bulls,Milwaukee Bucks,W,01/30/2013,240:00,45,91,0.495,4,13,0.308,10,13,0.769,15,30,45,27,10,5,11,22,104,16
Minnesota Timberwolves,Los Angeles Clippers,L,01/30/2013,240:00,33,76,0.434,5,19,0.263,19,27,0.704,8,30,38,20,9,3,13,25,90,-6
Los Angeles Clippers,Minnesota Timberwolves,W,01/30/2013,240:00,35,76,0.461,3,9,0.333,23,36,0.639,14,31,45,16,11,4,15,18,96,6
San Antonio Spurs,Charlotte Bobcats,W,01/30/2013,240:00,38,69,0.551,9,16,0.563,17,21,0.81,6,29,35,28,16,5,23,20,102,24
Charlotte Bobcats,San Antonio Spurs,L,01/30/2013,240:00,30,73,0.411,4,19,0.211,14,17,0.824,9,23,32,13,12,2,23,16,78,-24
Houston Rockets,Denver Nuggets,L,01/30/2013,240:00,39,81,0.481,8,27,0.296,24,35,0.686,10,32,42,22,11,6,21,29,110,-8
Denver Nuggets,Houston Rockets,W,01/30/2013,240:00,42,82,0.512,8,28,0.286,26,36,0.722,9,31,40,21,9,7,20,23,118,8
Utah Jazz,New Orleans Hornets,W,01/30/2013,240:00,34,68,0.5,4,12,0.333,32,46,0.696,7,33,40,24,6,5,13,24,104,5
New Orleans Hornets,Utah Jazz,L,01/30/2013,240:00,37,78,0.474,8,22,0.364,17,28,0.607,10,33,43,22,5,7,12,32,99,-5
Phoenix Suns,Los Angeles Lakers,W,01/30/2013,240:00,38,83,0.458,3,12,0.25,13,15,0.867,7,29,36,21,11,2,11,20,92,6
Los Angeles Lakers,Phoenix Suns,L,01/30/2013,240:00,33,78,0.423,8,27,0.296,12,19,0.632,11,35,46,19,7,4,19,16,86,-6
Oklahoma City Thunder,Memphis Grizzlies,W,01/31/2013,240:00,40,72,0.556,5,14,0.357,21,25,0.84,4,39,43,25,5,11,16,18,106,17
Memphis Grizzlies,Oklahoma City Thunder,L,01/31/2013,240:00,34,98,0.347,6,25,0.24,15,19,0.789,21,27,48,19,12,2,13,23,89,-17
Golden State Warriors,Dallas Mavericks,W,01/31/2013,240:00,36,84,0.429,7,20,0.35,21,25,0.84,12,34,46,26,6,4,12,21,100,3
Dallas Mavericks,Golden State Warriors,L,01/31/2013,240:00,36,81,0.444,8,25,0.32,17,24,0.708,12,35,47,25,8,5,15,18,97,-3
Toronto Raptors,Los Angeles Clippers,W,02/01/2013,240:00,38,81,0.469,12,26,0.462,10,17,0.588,11,34,45,30,7,6,12,25,98,25
Los Angeles Clippers,Toronto Raptors,L,02/01/2013,240:00,25,72,0.347,3,19,0.158,20,31,0.645,9,28,37,12,6,4,14,16,73,-25
Miami Heat,Indiana Pacers,L,02/01/2013,240:00,33,70,0.471,5,14,0.357,18,24,0.75,6,19,25,21,7,6,11,22,89,-13
Indiana Pacers,Miami Heat,W,02/01/2013,240:00,39,70,0.557,7,17,0.412,17,24,0.708,8,26,34,21,5,3,12,22,102,13
Orlando Magic,Boston Celtics,L,02/01/2013,240:00,36,95,0.379,3,19,0.158,9,9,1.0,15,32,47,19,10,6,14,13,84,-13
Boston Celtics,Orlando Magic,W,02/01/2013,240:00,42,84,0.5,4,18,0.222,9,14,0.643,10,38,48,30,9,5,14,13,97,13
Chicago Bulls,Brooklyn Nets,L,02/01/2013,240:00,34,78,0.436,1,14,0.071,20,22,0.909,11,18,29,23,9,3,13,17,89,-4
Brooklyn Nets,Chicago Bulls,W,02/01/2013,240:00,39,75,0.52,5,11,0.455,10,20,0.5,11,29,40,19,7,4,14,18,93,4
New York Knicks,Milwaukee Bucks,W,02/01/2013,240:00,32,76,0.421,13,35,0.371,19,26,0.731,14,36,50,17,5,4,15,15,96,10
Milwaukee Bucks,New York Knicks,L,02/01/2013,240:00,33,83,0.398,8,20,0.4,12,17,0.706,12,28,40,18,7,3,13,22,86,-10
Sacramento Kings,Philadelphia 76ers,L,02/01/2013,240:00,30,79,0.38,1,10,0.1,19,25,0.76,9,26,35,21,12,4,13,15,80,-9
Philadelphia 76ers,Sacramento Kings,W,02/01/2013,240:00,36,76,0.474,3,14,0.214,14,19,0.737,9,38,47,20,6,4,18,18,89,9
Detroit Pistons,Cleveland Cavaliers,W,02/01/2013,240:00,45,83,0.542,4,14,0.286,23,43,0.535,13,36,49,27,8,11,11,21,117,18
Cleveland Cavaliers,Detroit Pistons,L,02/01/2013,240:00,35,88,0.398,6,20,0.3,23,26,0.885,13,29,42,19,5,6,15,33,99,-18
Washington Wizards,Memphis Grizzlies,L,02/01/2013,240:00,34,83,0.41,5,20,0.25,3,3,1.0,7,24,31,19,12,0,15,19,76,-9
Memphis Grizzlies,Washington Wizards,W,02/01/2013,240:00,35,78,0.449,1,7,0.143,14,17,0.824,12,34,46,22,9,6,18,12,85,9
New Orleans Hornets,Denver Nuggets,L,02/01/2013,240:00,38,72,0.528,4,13,0.308,18,21,0.857,5,31,36,19,4,8,21,20,98,-15
Denver Nuggets,New Orleans Hornets,W,02/01/2013,240:00,44,84,0.524,7,22,0.318,18,22,0.818,7,25,32,29,14,6,8,20,113,15
Utah Jazz,Portland Trail Blazers,W,02/01/2013,240:00,35,81,0.432,4,15,0.267,12,17,0.706,9,38,47,19,7,7,13,21,86,9
Portland Trail Blazers,Utah Jazz,L,02/01/2013,240:00,29,79,0.367,7,20,0.35,12,16,0.75,12,28,40,15,6,8,15,22,77,-9
Phoenix Suns,Dallas Mavericks,L,02/01/2013,240:00,38,89,0.427,4,15,0.267,19,25,0.76,12,34,46,20,9,7,13,21,99,-10
Dallas Mavericks,Phoenix Suns,W,02/01/2013,240:00,40,88,0.455,8,21,0.381,21,25,0.84,12,39,51,25,10,12,15,18,109,10
Minnesota Timberwolves,Los Angeles Lakers,L,02/01/2013,240:00,41,89,0.461,10,22,0.455,8,18,0.444,8,32,40,23,8,4,13,18,100,-11
Los Angeles Lakers,Minnesota Timberwolves,W,02/01/2013,240:00,39,92,0.424,12,32,0.375,21,25,0.84,17,40,57,27,6,6,12,14,111,11
Chicago Bulls,Atlanta Hawks,W,02/02/2013,240:00,38,93,0.409,8,20,0.4,9,13,0.692,18,35,53,26,12,5,7,14,93,17
Atlanta Hawks,Chicago Bulls,L,02/02/2013,240:00,31,79,0.392,6,19,0.316,8,15,0.533,12,33,45,17,3,7,14,12,76,-17
Sacramento Kings,New York Knicks,L,02/02/2013,240:00,32,76,0.421,6,21,0.286,11,15,0.733,5,25,30,14,8,2,18,15,81,-39
New York Knicks,Sacramento Kings,W,02/02/2013,240:00,47,86,0.547,19,43,0.442,7,13,0.538,15,37,52,34,8,1,17,19,120,39
Oklahoma City Thunder,Cleveland Cavaliers,L,02/02/2013,240:00,41,83,0.494,7,21,0.333,21,26,0.808,14,33,47,19,10,11,16,20,110,-5
Cleveland Cavaliers,Oklahoma City Thunder,W,02/02/2013,240:00,43,90,0.478,9,18,0.5,20,23,0.87,14,30,44,27,9,2,13,16,115,5
Houston Rockets,Charlotte Bobcats,W,02/02/2013,240:00,42,82,0.512,7,20,0.35,18,23,0.783,14,36,50,27,5,5,14,19,109,14
Charlotte Bobcats,Houston Rockets,L,02/02/2013,240:00,33,79,0.418,8,19,0.421,21,24,0.875,9,26,35,18,7,7,13,23,95,-14
New Orleans Hornets,Minnesota Timberwolves,L,02/02/2013,240:00,28,70,0.4,3,14,0.214,27,33,0.818,9,19,28,15,12,4,23,25,86,-29
Minnesota Timberwolves,New Orleans Hornets,W,02/02/2013,240:00,45,77,0.584,5,15,0.333,20,29,0.69,15,29,44,30,12,5,18,27,115,29
Orlando Magic,Milwaukee Bucks,L,02/02/2013,240:00,41,94,0.436,5,19,0.263,11,22,0.5,20,32,52,32,9,5,17,17,98,-9
Milwaukee Bucks,Orlando Magic,W,02/02/2013,240:00,42,90,0.467,9,24,0.375,14,20,0.7,14,28,42,26,6,9,16,16,107,9
Washington Wizards,San Antonio Spurs,L,02/02/2013,240:00,36,88,0.409,6,22,0.273,8,17,0.471,12,29,41,24,8,2,16,23,86,-10
San Antonio Spurs,Washington Wizards,W,02/02/2013,240:00,38,78,0.487,5,20,0.25,15,16,0.938,3,42,45,25,5,4,16,17,96,10
Utah Jazz,Portland Trail Blazers,L,02/02/2013,240:00,39,90,0.433,8,19,0.421,13,16,0.813,10,27,37,24,9,2,4,22,99,-6
Portland Trail Blazers,Utah Jazz,W,02/02/2013,240:00,38,75,0.507,10,18,0.556,19,28,0.679,10,39,49,25,2,6,16,17,105,6
Phoenix Suns,Golden State Warriors,L,02/02/2013,240:00,35,86,0.407,5,15,0.333,18,24,0.75,15,33,48,22,7,1,12,21,93,-20
Golden State Warriors,Phoenix Suns,W,02/02/2013,240:00,45,89,0.506,9,19,0.474,14,20,0.7,14,33,47,34,5,3,13,24,113,20
Los Angeles Clippers,Boston Celtics,L,02/03/2013,240:00,40,79,0.506,9,21,0.429,15,21,0.714,13,28,41,27,9,2,20,26,104,-2
Boston Celtics,Los Angeles Clippers,W,02/03/2013,240:00,36,72,0.5,11,18,0.611,23,27,0.852,6,23,29,23,8,2,17,22,106,2
Los Angeles Lakers,Detroit Pistons,W,02/03/2013,240:00,39,83,0.47,6,20,0.3,14,22,0.636,7,34,41,24,9,3,14,15,98,1
Detroit Pistons,Los Angeles Lakers,L,02/03/2013,240:00,41,92,0.446,5,14,0.357,10,15,0.667,10,37,47,26,10,8,14,18,97,-1
Toronto Raptors,Miami Heat,L,02/03/2013,240:00,28,75,0.373,4,18,0.222,25,32,0.781,14,24,38,15,10,3,15,24,85,-15
Miami Heat,Toronto Raptors,W,02/03/2013,240:00,40,75,0.533,3,12,0.25,17,23,0.739,7,27,34,19,10,4,12,23,100,15
Philadelphia 76ers,Orlando Magic,W,02/04/2013,240:00,36,79,0.456,3,20,0.15,3,5,0.6,7,39,46,26,8,7,11,10,78,17
Orlando Magic,Philadelphia 76ers,L,02/04/2013,240:00,27,80,0.338,1,12,0.083,6,8,0.75,10,36,46,20,5,2,12,5,61,-17
Washington Wizards,Los Angeles Clippers,W,02/04/2013,240:00,37,84,0.44,7,12,0.583,17,27,0.63,13,31,44,27,11,8,12,16,98,8
Los Angeles Clippers,Washington Wizards,L,02/04/2013,240:00,37,79,0.468,4,17,0.235,12,15,0.8,9,35,44,21,6,6,20,24,90,-8
New York Knicks,Detroit Pistons,W,02/04/2013,240:00,36,79,0.456,14,34,0.412,13,16,0.813,14,32,46,22,6,2,15,16,99,14
Detroit Pistons,New York Knicks,L,02/04/2013,240:00,38,90,0.422,3,13,0.231,6,12,0.5,17,26,43,15,10,5,12,13,85,-14
Miami Heat,Charlotte Bobcats,W,02/04/2013,240:00,41,81,0.506,1,12,0.083,16,24,0.667,12,27,39,23,6,5,11,18,99,5
Charlotte Bobcats,Miami Heat,L,02/04/2013,240:00,34,80,0.425,8,25,0.32,18,20,0.9,12,28,40,13,8,5,13,24,94,-5
Oklahoma City Thunder,Dallas Mavericks,W,02/04/2013,240:00,41,87,0.471,10,25,0.4,20,27,0.741,8,40,48,25,11,8,11,19,112,21
Dallas Mavericks,Oklahoma City Thunder,L,02/04/2013,240:00,36,87,0.414,3,16,0.188,16,20,0.8,6,34,40,21,7,9,14,18,91,-21
Portland Trail Blazers,Minnesota Timberwolves,W,02/04/2013,240:00,41,70,0.586,7,18,0.389,11,16,0.688,8,31,39,23,5,8,28,24,100,2
Minnesota Timberwolves,Portland Trail Blazers,L,02/04/2013,240:00,40,85,0.471,3,13,0.231,15,19,0.789,10,19,29,23,13,2,12,20,98,-2
Utah Jazz,Sacramento Kings,W,02/04/2013,265:00,38,72,0.528,7,12,0.583,15,18,0.833,5,36,41,25,8,8,20,19,98,7
Sacramento Kings,Utah Jazz,L,02/04/2013,265:00,35,87,0.402,3,20,0.15,18,25,0.72,15,24,39,13,11,4,13,21,91,-7
Indiana Pacers,Atlanta Hawks,W,02/05/2013,240:00,36,75,0.48,11,25,0.44,31,40,0.775,5,32,37,28,7,8,12,26,114,11
Atlanta Hawks,Indiana Pacers,L,02/05/2013,240:00,36,81,0.444,8,21,0.381,23,28,0.821,5,34,39,26,5,3,16,33,103,-11
Los Angeles Lakers,Brooklyn Nets,W,02/05/2013,240:00,37,82,0.451,3,13,0.231,15,18,0.833,5,35,40,20,5,5,13,18,92,9
Brooklyn Nets,Los Angeles Lakers,L,02/05/2013,240:00,31,89,0.348,6,23,0.261,15,19,0.789,20,32,52,16,7,5,16,18,83,-9
Phoenix Suns,Memphis Grizzlies,W,02/05/2013,240:00,37,73,0.507,4,10,0.4,18,22,0.818,11,29,40,19,9,2,21,23,96,6
Memphis Grizzlies,Phoenix Suns,L,02/05/2013,240:00,36,82,0.439,3,9,0.333,15,17,0.882,14,20,34,15,7,0,16,20,90,-6
Houston Rockets,Golden State Warriors,W,02/05/2013,240:00,46,91,0.505,23,40,0.575,25,35,0.714,14,34,48,35,6,2,8,24,140,31
Golden State Warriors,Houston Rockets,L,02/05/2013,240:00,41,86,0.477,3,15,0.2,24,30,0.8,11,29,40,21,2,5,12,26,109,-31
Milwaukee Bucks,Denver Nuggets,L,02/05/2013,240:00,48,100,0.48,3,16,0.188,5,11,0.455,12,32,44,27,6,11,16,28,104,-8
Denver Nuggets,Milwaukee Bucks,W,02/05/2013,240:00,40,91,0.44,5,16,0.313,27,37,0.73,16,37,53,26,9,12,17,19,112,8
Toronto Raptors,Boston Celtics,L,02/06/2013,240:00,34,82,0.415,4,18,0.222,23,26,0.885,12,31,43,18,12,2,15,23,95,-4
Boston Celtics,Toronto Raptors,W,02/06/2013,240:00,35,73,0.479,4,19,0.211,25,30,0.833,6,35,41,21,4,5,13,20,99,4
Philadelphia 76ers,Indiana Pacers,L,02/06/2013,240:00,31,89,0.348,2,8,0.25,5,7,0.714,16,35,51,20,8,8,15,17,69,-19
Indiana Pacers,Philadelphia 76ers,W,02/06/2013,240:00,32,81,0.395,5,17,0.294,19,25,0.76,16,38,54,20,10,4,9,8,88,19
Washington Wizards,New York Knicks,W,02/06/2013,240:00,42,79,0.532,11,20,0.55,11,14,0.786,7,31,38,23,3,4,10,17,106,10
New York Knicks,Washington Wizards,L,02/06/2013,240:00,34,84,0.405,9,28,0.321,19,23,0.826,12,29,41,14,5,3,9,12,96,-10
Orlando Magic,Los Angeles Clippers,L,02/06/2013,240:00,30,87,0.345,6,20,0.3,10,14,0.714,14,36,50,16,6,5,18,20,76,-10
Los Angeles Clippers,Orlando Magic,W,02/06/2013,240:00,33,82,0.402,6,18,0.333,14,22,0.636,13,35,48,17,16,6,14,16,86,10
Cleveland Cavaliers,Charlotte Bobcats,W,02/06/2013,240:00,52,92,0.565,9,24,0.375,9,13,0.692,10,35,45,33,6,5,6,20,122,27
Charlotte Bobcats,Cleveland Cavaliers,L,02/06/2013,240:00,37,79,0.468,6,15,0.4,15,25,0.6,9,28,37,21,5,5,13,10,95,-27
Memphis Grizzlies,Atlanta Hawks,L,02/06/2013,240:00,38,84,0.452,5,12,0.417,11,16,0.688,9,29,38,28,6,4,8,19,92,-11
Atlanta Hawks,Memphis Grizzlies,W,02/06/2013,240:00,38,74,0.514,10,24,0.417,17,23,0.739,6,40,46,28,4,5,13,16,103,11
Miami Heat,Houston Rockets,W,02/06/2013,240:00,40,82,0.488,10,23,0.435,24,28,0.857,8,30,38,23,9,6,10,16,114,6
Houston Rockets,Miami Heat,L,02/06/2013,240:00,39,80,0.488,9,25,0.36,21,25,0.84,8,31,39,19,6,2,16,26,108,-6
Detroit Pistons,Brooklyn Nets,L,02/06/2013,240:00,36,83,0.434,3,17,0.176,15,21,0.714,14,27,41,28,7,7,14,29,90,-3
Brooklyn Nets,Detroit Pistons,W,02/06/2013,240:00,34,82,0.415,6,16,0.375,19,25,0.76,15,31,46,22,6,5,13,19,93,3
Phoenix Suns,New Orleans Hornets,L,02/06/2013,240:00,35,78,0.449,1,15,0.067,13,15,0.867,11,29,40,19,4,4,16,17,84,-9
New Orleans Hornets,Phoenix Suns,W,02/06/2013,240:00,39,75,0.52,4,14,0.286,11,17,0.647,9,24,33,24,10,7,11,17,93,9
Oklahoma City Thunder,Golden State Warriors,W,02/06/2013,240:00,48,95,0.505,8,23,0.348,15,20,0.75,10,40,50,29,12,16,12,12,119,21
Golden State Warriors,Oklahoma City Thunder,L,02/06/2013,240:00,38,93,0.409,10,20,0.5,12,16,0.75,13,36,49,25,7,4,19,15,98,-21
Portland Trail Blazers,Dallas Mavericks,L,02/06/2013,240:00,36,84,0.429,10,30,0.333,17,19,0.895,7,35,42,20,6,1,6,20,99,-6
Dallas Mavericks,Portland Trail Blazers,W,02/06/2013,240:00,41,86,0.477,10,20,0.5,13,19,0.684,11,35,46,22,5,3,8,16,105,6
San Antonio Spurs,Minnesota Timberwolves,W,02/06/2013,240:00,37,81,0.457,10,25,0.4,20,21,0.952,7,34,41,24,13,5,13,22,104,10
Minnesota Timberwolves,San Antonio Spurs,L,02/06/2013,240:00,33,81,0.407,8,18,0.444,20,23,0.87,12,37,49,16,7,5,15,19,94,-10
Utah Jazz,Milwaukee Bucks,W,02/06/2013,240:00,39,81,0.481,5,10,0.5,17,26,0.654,17,33,50,23,9,12,19,23,100,14
Milwaukee Bucks,Utah Jazz,L,02/06/2013,240:00,29,82,0.354,6,19,0.316,22,29,0.759,9,28,37,15,12,9,16,21,86,-14
Los Angeles Lakers,Boston Celtics,L,02/07/2013,240:00,36,87,0.414,5,23,0.217,18,30,0.6,13,30,43,16,2,3,12,19,95,-21
Boston Celtics,Los Angeles Lakers,W,02/07/2013,240:00,46,87,0.529,5,11,0.455,19,25,0.76,12,36,48,25,10,5,9,28,116,21
Denver Nuggets,Chicago Bulls,W,02/07/2013,240:00,50,86,0.581,9,19,0.474,19,23,0.826,16,30,46,29,11,8,10,16,128,32
Chicago Bulls,Denver Nuggets,L,02/07/2013,240:00,38,91,0.418,10,27,0.37,10,14,0.714,16,18,34,26,5,4,14,16,96,-32
Washington Wizards,Brooklyn Nets,W,02/08/2013,240:00,36,80,0.45,7,16,0.438,10,11,0.909,5,40,45,19,11,4,12,25,89,15
Brooklyn Nets,Washington Wizards,L,02/08/2013,240:00,25,76,0.329,5,18,0.278,19,32,0.594,10,37,47,17,9,5,15,14,74,-15
Los Angeles Lakers,Charlotte Bobcats,W,02/08/2013,240:00,36,80,0.45,8,26,0.308,20,25,0.8,6,40,46,23,6,10,13,17,100,7
Charlotte Bobcats,Los Angeles Lakers,L,02/08/2013,240:00,38,89,0.427,4,14,0.286,13,19,0.684,8,38,46,30,10,4,10,20,93,-7
Toronto Raptors,Indiana Pacers,W,02/08/2013,265:00,42,96,0.438,2,9,0.222,14,19,0.737,17,29,46,19,9,9,14,31,100,2
Indiana Pacers,Toronto Raptors,L,02/08/2013,265:00,35,78,0.449,9,22,0.409,19,28,0.679,10,32,42,23,6,7,18,22,98,-2
New Orleans Hornets,Atlanta Hawks,W,02/08/2013,240:00,45,86,0.523,9,16,0.563,12,18,0.667,11,33,44,24,4,5,13,19,111,11
Atlanta Hawks,New Orleans Hornets,L,02/08/2013,240:00,35,74,0.473,13,24,0.542,17,23,0.739,5,28,33,30,8,6,17,15,100,-11
San Antonio Spurs,Detroit Pistons,L,02/08/2013,240:00,37,81,0.457,10,24,0.417,25,30,0.833,9,24,33,20,8,9,7,16,109,-10
Detroit Pistons,San Antonio Spurs,W,02/08/2013,240:00,46,89,0.517,10,22,0.455,17,20,0.85,15,34,49,26,5,4,12,20,119,10
Orlando Magic,Cleveland Cavaliers,L,02/08/2013,240:00,45,86,0.523,8,21,0.381,10,13,0.769,9,30,39,30,3,7,19,26,108,-11
Cleveland Cavaliers,Orlando Magic,W,02/08/2013,240:00,39,80,0.488,7,14,0.5,34,41,0.829,7,25,32,23,10,3,6,15,119,11
Miami Heat,Los Angeles Clippers,W,02/08/2013,240:00,36,68,0.529,15,27,0.556,24,32,0.75,8,28,36,22,11,4,13,21,111,22
Los Angeles Clippers,Miami Heat,L,02/08/2013,240:00,34,77,0.442,7,16,0.438,14,19,0.737,11,24,35,23,9,5,18,24,89,-22
Memphis Grizzlies,Golden State Warriors,W,02/08/2013,240:00,36,79,0.456,8,20,0.4,19,23,0.826,9,34,43,26,6,4,12,22,99,6
Golden State Warriors,Memphis Grizzlies,L,02/08/2013,240:00,36,74,0.486,6,17,0.353,15,20,0.75,7,27,34,18,5,4,16,25,93,-6
Portland Trail Blazers,Houston Rockets,L,02/08/2013,240:00,40,88,0.455,8,26,0.308,15,20,0.75,15,25,40,21,4,4,11,12,103,-15
Houston Rockets,Portland Trail Blazers,W,02/08/2013,240:00,47,79,0.595,12,26,0.462,12,16,0.75,7,32,39,27,5,9,10,19,118,15
Phoenix Suns,Oklahoma City Thunder,L,02/08/2013,240:00,39,83,0.47,7,18,0.389,11,15,0.733,11,28,39,18,4,4,16,18,96,-31
Oklahoma City Thunder,Phoenix Suns,W,02/08/2013,240:00,50,87,0.575,14,21,0.667,13,18,0.722,10,30,40,29,10,11,8,20,127,31
New York Knicks,Minnesota Timberwolves,W,02/08/2013,240:00,38,81,0.469,8,26,0.308,16,20,0.8,10,32,42,19,5,6,8,19,100,6
