Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chicago Bulls,Houston Rockets,L,11/21/2012,240:00,38,95,0.4,2,16,0.125,11,19,0.579,16,32,48,20,11,7,14,22,89,-4
Minnesota Timberwolves,Denver Nuggets,L,11/21/2012,240:00,34,89,0.382,10,28,0.357,16,25,0.64,17,28,45,19,11,4,15,21,94,-7
Denver Nuggets,Minnesota Timberwolves,W,11/21/2012,240:00,35,79,0.443,9,21,0.429,22,26,0.846,14,35,49,16,5,8,20,24,101,7
New York Knicks,Dallas Mavericks,L,11/21/2012,240:00,39,77,0.506,15,31,0.484,18,22,0.818,5,32,37,25,10,2,14,17,111,-3
Dallas Mavericks,New York Knicks,W,11/21/2012,240:00,42,85,0.494,13,29,0.448,17,21,0.81,11,31,42,22,8,1,13,18,114,3
Portland Trail Blazers,Phoenix Suns,L,11/21/2012,240:00,31,77,0.403,5,19,0.263,20,26,0.769,13,19,32,14,7,2,20,21,87,-27
Phoenix Suns,Portland Trail Blazers,W,11/21/2012,240:00,46,77,0.597,7,17,0.412,15,18,0.833,7,28,35,22,12,3,13,18,114,27
Sacramento Kings,Los Angeles Lakers,W,11/21/2012,240:00,44,81,0.543,7,15,0.467,18,22,0.818,9,32,41,23,9,4,16,27,113,16
Los Angeles Lakers,Sacramento Kings,L,11/21/2012,240:00,29,65,0.446,12,26,0.462,27,39,0.692,6,27,33,16,6,4,20,22,97,-16
Golden State Warriors,Brooklyn Nets,W,11/21/2012,240:00,40,75,0.533,7,15,0.467,15,19,0.789,12,31,43,24,3,1,15,17,102,9
Brooklyn Nets,Golden State Warriors,L,11/21/2012,240:00,38,83,0.458,6,23,0.261,11,15,0.733,14,21,35,26,7,6,8,16,93,-9
Charlotte Bobcats,Atlanta Hawks,L,11/23/2012,240:00,31,83,0.373,8,22,0.364,21,26,0.808,7,29,36,17,16,9,13,15,91,-10
Atlanta Hawks,Charlotte Bobcats,W,11/23/2012,240:00,42,78,0.538,11,22,0.5,6,14,0.429,7,34,41,29,6,15,21,18,101,10
Orlando Magic,Cleveland Cavaliers,W,11/23/2012,240:00,40,80,0.5,11,21,0.524,17,20,0.85,12,24,36,21,5,3,18,30,108,4
Cleveland Cavaliers,Orlando Magic,L,11/23/2012,240:00,37,87,0.425,8,26,0.308,22,30,0.733,17,21,38,19,8,1,13,24,104,-4
